task_id,without_mcp_pass,with_mcp_pass,without_mcp_reason,with_mcp_reason
925,0,0,name_error,name_error
926,0,0,assertion_error,assertion_error
927,0,0,name_error,name_error
928,0,0,assertion_error,assertion_error
929,1,1,pass,pass
930,0,0,assertion_error,assertion_error
931,0,0,assertion_error,assertion_error
932,0,0,assertion_error,assertion_error
933,0,1,assertion_error,pass
934,0,0,assertion_error,assertion_error
935,1,1,pass,pass
936,0,0,runtime_error,assertion_error
937,1,1,pass,pass
938,0,0,assertion_error,assertion_error
939,0,0,assertion_error,assertion_error
940,0,0,name_error,assertion_error
941,1,1,pass,pass
942,0,0,assertion_error,assertion_error
943,1,1,pass,pass
944,0,0,assertion_error,assertion_error
945,1,1,pass,pass
946,0,1,assertion_error,pass
947,1,1,pass,pass
948,1,1,pass,pass
949,0,0,runtime_error,assertion_error
950,0,0,assertion_error,assertion_error
951,1,0,pass,name_error
952,0,0,name_error,assertion_error
953,0,0,assertion_error,assertion_error
954,1,1,pass,pass
955,1,1,pass,pass
956,1,0,pass,assertion_error
957,0,0,assertion_error,assertion_error
958,0,1,assertion_error,pass
959,1,1,pass,pass
960,0,0,assertion_error,assertion_error
961,0,0,assertion_error,assertion_error
962,1,1,pass,pass
963,0,0,assertion_error,assertion_error
964,1,1,pass,pass
965,0,0,assertion_error,assertion_error
966,1,1,pass,pass
967,0,0,assertion_error,assertion_error
968,0,0,assertion_error,assertion_error
969,0,0,assertion_error,assertion_error
970,1,1,pass,pass
971,0,0,assertion_error,assertion_error
972,0,0,assertion_error,assertion_error
973,1,1,pass,pass
974,1,1,pass,pass
